Date: 2023-10-29 14:45:03s, Time_Cost: 100s, Epoch: [10/100],Val_PSNR: 41.51, Val_SSIM: 0.9990
Date: 2023-10-29 14:46:43s, Time_Cost: 100s, Epoch: [11/100],Val_PSNR: 41.41, Val_SSIM: 0.9991
Date: 2023-10-29 14:48:23s, Time_Cost: 100s, Epoch: [12/100],Val_PSNR: 41.86, Val_SSIM: 0.9992
Date: 2023-10-29 14:50:04s, Time_Cost: 101s, Epoch: [13/100],Val_PSNR: 42.13, Val_SSIM: 0.9993
Date: 2023-10-29 14:51:44s, Time_Cost: 100s, Epoch: [14/100],Val_PSNR: 42.51, Val_SSIM: 0.9994
Date: 2023-10-29 14:53:25s, Time_Cost: 100s, Epoch: [15/100],Val_PSNR: 42.59, Val_SSIM: 0.9994
Date: 2023-10-29 14:55:05s, Time_Cost: 100s, Epoch: [16/100],Val_PSNR: 42.85, Val_SSIM: 0.9995
Date: 2023-10-29 14:56:46s, Time_Cost: 100s, Epoch: [17/100],Val_PSNR: 42.90, Val_SSIM: 0.9996
Date: 2023-10-29 14:58:26s, Time_Cost: 100s, Epoch: [18/100],Val_PSNR: 43.15, Val_SSIM: 0.9996
Date: 2023-10-29 15:00:07s, Time_Cost: 100s, Epoch: [19/100],Val_PSNR: 43.10, Val_SSIM: 0.9996
Date: 2023-10-29 15:01:47s, Time_Cost: 100s, Epoch: [20/100],Val_PSNR: 44.26, Val_SSIM: 0.9997
Date: 2023-10-29 15:03:27s, Time_Cost: 100s, Epoch: [21/100],Val_PSNR: 44.22, Val_SSIM: 0.9997
Date: 2023-10-29 15:05:07s, Time_Cost: 100s, Epoch: [22/100],Val_PSNR: 44.17, Val_SSIM: 0.9997
Date: 2023-10-29 15:06:48s, Time_Cost: 100s, Epoch: [23/100],Val_PSNR: 44.60, Val_SSIM: 0.9998
Date: 2023-10-29 15:08:28s, Time_Cost: 100s, Epoch: [24/100],Val_PSNR: 44.90, Val_SSIM: 0.9998
Date: 2023-10-29 15:10:08s, Time_Cost: 100s, Epoch: [25/100],Val_PSNR: 44.58, Val_SSIM: 0.9998
Date: 2023-10-29 15:11:49s, Time_Cost: 100s, Epoch: [26/100],Val_PSNR: 45.17, Val_SSIM: 0.9998
Date: 2023-10-29 15:13:29s, Time_Cost: 100s, Epoch: [27/100],Val_PSNR: 45.18, Val_SSIM: 0.9998
Date: 2023-10-29 15:15:09s, Time_Cost: 100s, Epoch: [28/100],Val_PSNR: 45.96, Val_SSIM: 0.9998
Date: 2023-10-29 15:16:50s, Time_Cost: 100s, Epoch: [29/100],Val_PSNR: 45.46, Val_SSIM: 0.9998
Date: 2023-10-29 15:18:30s, Time_Cost: 100s, Epoch: [30/100],Val_PSNR: 45.35, Val_SSIM: 0.9998
Date: 2023-10-29 15:20:10s, Time_Cost: 100s, Epoch: [31/100],Val_PSNR: 45.91, Val_SSIM: 0.9999
Date: 2023-10-29 15:21:50s, Time_Cost: 100s, Epoch: [32/100],Val_PSNR: 45.83, Val_SSIM: 0.9999
Date: 2023-10-29 15:23:30s, Time_Cost: 100s, Epoch: [33/100],Val_PSNR: 46.02, Val_SSIM: 0.9999
Date: 2023-10-29 15:25:11s, Time_Cost: 100s, Epoch: [34/100],Val_PSNR: 46.38, Val_SSIM: 0.9999
Date: 2023-10-29 15:26:51s, Time_Cost: 100s, Epoch: [35/100],Val_PSNR: 46.21, Val_SSIM: 0.9999
Date: 2023-10-29 15:28:31s, Time_Cost: 100s, Epoch: [36/100],Val_PSNR: 45.99, Val_SSIM: 0.9999
Date: 2023-10-29 15:30:11s, Time_Cost: 100s, Epoch: [37/100],Val_PSNR: 46.66, Val_SSIM: 0.9999
Date: 2023-10-29 15:31:51s, Time_Cost: 100s, Epoch: [38/100],Val_PSNR: 46.68, Val_SSIM: 0.9999
Date: 2023-10-29 15:33:32s, Time_Cost: 100s, Epoch: [39/100],Val_PSNR: 46.08, Val_SSIM: 0.9999
Date: 2023-10-29 15:35:12s, Time_Cost: 100s, Epoch: [40/100],Val_PSNR: 46.72, Val_SSIM: 0.9999
Date: 2023-10-29 15:36:52s, Time_Cost: 100s, Epoch: [41/100],Val_PSNR: 46.86, Val_SSIM: 0.9999
Date: 2023-10-29 15:38:32s, Time_Cost: 100s, Epoch: [42/100],Val_PSNR: 47.47, Val_SSIM: 0.9999
Date: 2023-10-29 15:40:12s, Time_Cost: 100s, Epoch: [43/100],Val_PSNR: 47.14, Val_SSIM: 0.9999
Date: 2023-10-29 15:41:52s, Time_Cost: 100s, Epoch: [44/100],Val_PSNR: 46.79, Val_SSIM: 0.9999
Date: 2023-10-29 15:43:33s, Time_Cost: 100s, Epoch: [45/100],Val_PSNR: 47.18, Val_SSIM: 0.9999
Date: 2023-10-29 15:45:13s, Time_Cost: 100s, Epoch: [46/100],Val_PSNR: 47.06, Val_SSIM: 0.9999
Date: 2023-10-29 15:46:53s, Time_Cost: 100s, Epoch: [47/100],Val_PSNR: 47.27, Val_SSIM: 0.9999
Date: 2023-10-29 15:48:33s, Time_Cost: 100s, Epoch: [48/100],Val_PSNR: 47.33, Val_SSIM: 0.9999
Date: 2023-10-29 15:50:14s, Time_Cost: 100s, Epoch: [49/100],Val_PSNR: 47.96, Val_SSIM: 0.9999
Date: 2023-10-29 15:51:54s, Time_Cost: 101s, Epoch: [50/100],Val_PSNR: 47.85, Val_SSIM: 0.9999
Date: 2023-10-29 15:53:35s, Time_Cost: 100s, Epoch: [51/100],Val_PSNR: 47.74, Val_SSIM: 0.9999
Date: 2023-10-29 15:55:15s, Time_Cost: 100s, Epoch: [52/100],Val_PSNR: 47.99, Val_SSIM: 0.9999
Date: 2023-10-29 15:56:55s, Time_Cost: 100s, Epoch: [53/100],Val_PSNR: 48.51, Val_SSIM: 0.9999
Date: 2023-10-29 15:58:35s, Time_Cost: 100s, Epoch: [54/100],Val_PSNR: 48.92, Val_SSIM: 0.9999
Date: 2023-10-29 16:00:15s, Time_Cost: 100s, Epoch: [55/100],Val_PSNR: 48.59, Val_SSIM: 0.9999
Date: 2023-10-29 16:01:55s, Time_Cost: 100s, Epoch: [56/100],Val_PSNR: 48.99, Val_SSIM: 0.9999
Date: 2023-10-29 16:03:36s, Time_Cost: 100s, Epoch: [57/100],Val_PSNR: 48.85, Val_SSIM: 0.9999
Date: 2023-10-29 16:05:16s, Time_Cost: 100s, Epoch: [58/100],Val_PSNR: 49.29, Val_SSIM: 0.9999
Date: 2023-10-29 16:06:56s, Time_Cost: 100s, Epoch: [59/100],Val_PSNR: 49.84, Val_SSIM: 1.0000
Date: 2023-10-29 16:08:36s, Time_Cost: 100s, Epoch: [60/100],Val_PSNR: 50.01, Val_SSIM: 1.0000
Date: 2023-10-29 16:10:16s, Time_Cost: 100s, Epoch: [61/100],Val_PSNR: 50.10, Val_SSIM: 1.0000
Date: 2023-10-29 16:11:56s, Time_Cost: 100s, Epoch: [62/100],Val_PSNR: 50.64, Val_SSIM: 1.0000
Date: 2023-10-29 16:13:37s, Time_Cost: 100s, Epoch: [63/100],Val_PSNR: 50.73, Val_SSIM: 1.0000
Date: 2023-10-29 16:15:17s, Time_Cost: 100s, Epoch: [64/100],Val_PSNR: 51.29, Val_SSIM: 1.0000
Date: 2023-10-29 16:16:57s, Time_Cost: 100s, Epoch: [65/100],Val_PSNR: 51.58, Val_SSIM: 1.0000
Date: 2023-10-29 16:18:37s, Time_Cost: 100s, Epoch: [66/100],Val_PSNR: 52.08, Val_SSIM: 1.0000
Date: 2023-10-29 16:20:17s, Time_Cost: 100s, Epoch: [67/100],Val_PSNR: 52.05, Val_SSIM: 1.0000
Date: 2023-10-29 16:21:57s, Time_Cost: 100s, Epoch: [68/100],Val_PSNR: 52.16, Val_SSIM: 1.0000
Date: 2023-10-29 16:23:38s, Time_Cost: 100s, Epoch: [69/100],Val_PSNR: 52.64, Val_SSIM: 1.0000
Date: 2023-10-29 16:25:18s, Time_Cost: 100s, Epoch: [70/100],Val_PSNR: 53.29, Val_SSIM: 1.0000
Date: 2023-10-29 16:26:59s, Time_Cost: 101s, Epoch: [71/100],Val_PSNR: 53.28, Val_SSIM: 1.0000
Date: 2023-10-29 16:28:39s, Time_Cost: 100s, Epoch: [72/100],Val_PSNR: 53.33, Val_SSIM: 1.0000
